Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
8082,19.0,Private,136866.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,45.0,United-States
32005,39.0,Private,128392.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,,White,Male,,1887.0,40.0,United-States
7702,69.0,State-gov,34339.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
3551,24.0,Private,69045.0,Some-college,10.0,,Sales,Not-in-family,Black,Male,0.0,0.0,40.0,Jamaica
3635,26.0,Private,292353.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0.0,0.0,40.0,United-States
16227,54.0,Private,210736.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,,0.0,0.0,40.0,United-States
3312,26.0,Private,73689.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,,0.0,0.0,55.0,United-States
19818,20.0,Private,183594.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,50.0,United-States
22240,37.0,Private,98776.0,,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,15.0,United-States
6548,28.0,State-gov,158834.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,0.0,50.0,United-States
25566,42.0,State-gov,222884.0,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Male,,0.0,40.0,United-States
7236,40.0,Private,204046.0,10th,6.0,Divorced,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States
9822,25.0,Private,57635.0,Assoc-voc,11.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,42.0,United-States
7609,40.0,Private,248406.0,Some-college,10.0,Divorced,Machine-op-inspct,Own-child,White,Male,0.0,0.0,32.0,United-States
9738,29.0,Private,81057.0,Some-college,,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States
13649,20.0,Private,119215.0,Some-college,10.0,Never-married,Transport-moving,Own-child,White,Male,,0.0,40.0,United-States
20114,52.0,Private,318975.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,Cuba
32459,85.0,Private,98611.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,Poland
19,43.0,Self-emp-not-inc,292175.0,Masters,,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States
14879,51.0,Local-gov,97005.0,7th-8th,4.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States
16648,52.0,Private,196894.0,11th,7.0,Separated,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,40.0,United-States
21960,55.0,Private,255364.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States
13805,34.0,Self-emp-inc,242984.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,,0.0,50.0,United-States
6705,34.0,Private,,HS-grad,9.0,Divorced,Exec-managerial,Own-child,White,Male,0.0,0.0,44.0,United-States
9016,56.0,Private,132026.0,Bachelors,13.0,Married-civ-spouse,,Husband,Black,Male,7688.0,0.0,45.0,United-States
13600,57.0,Self-emp-not-inc,253914.0,1st-4th,2.0,,Sales,Husband,White,Male,0.0,0.0,35.0,Mexico
31179,21.0,Private,,HS-grad,9.0,Never-married,Other-service,Own-child,White,,0.0,0.0,35.0,United-States
1634,37.0,Private,405723.0,1st-4th,2.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico
5149,28.0,Private,199600.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States
13478,33.0,Federal-gov,,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0.0,0.0,40.0,United-States
1572,24.0,Private,198148.0,Some-college,10.0,Never-married,Other-service,Own-child,White,,0.0,0.0,30.0,United-States
32028,44.0,Local-gov,203761.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
23052,,Private,170376.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States
21792,33.0,,217460.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,,60.0,United-States
19796,53.0,Private,189511.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
13793,20.0,,386643.0,Some-college,10.0,Never-married,Other-service,Own-child,White,,0.0,0.0,40.0,United-States
11647,47.0,Local-gov,138342.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,3411.0,0.0,40.0,El-Salvador
6278,52.0,Local-gov,305053.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2051.0,40.0,United-States
20710,31.0,Private,414525.0,12th,8.0,Never-married,Farming-fishing,Not-in-family,Black,Male,0.0,0.0,60.0,United-States
7069,46.0,Private,185673.0,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States
22038,,Private,198258.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,35.0,United-States
18661,34.0,Self-emp-not-inc,80933.0,HS-grad,9.0,Divorced,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States
20264,43.0,Private,35210.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States
1964,28.0,Private,188711.0,Bachelors,13.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,20.0,United-States
24942,25.0,Private,178478.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States
7827,29.0,Self-emp-not-inc,189346.0,Some-college,10.0,,Craft-repair,Not-in-family,White,Male,2202.0,0.0,50.0,United-States
13682,52.0,Private,117295.0,1st-4th,2.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,50.0,United-States
9904,64.0,Private,477697.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,16.0,United-States
2050,22.0,Private,188569.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-States
9555,21.0,Self-emp-not-inc,409230.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,30.0,United-States
24020,27.0,Private,85625.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,22.0,United-States
17976,26.0,Private,37202.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,45.0,United-States
19136,28.0,Private,65171.0,Some-college,10.0,,Tech-support,Husband,White,,0.0,0.0,70.0,United-States
2326,37.0,Private,200863.0,Some-college,10.0,Widowed,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States
19087,31.0,Self-emp-not-inc,111423.0,Bachelors,13.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,55.0,United-States
2853,28.0,Private,369114.0,HS-grad,9.0,Separated,Sales,Other-relative,White,Female,0.0,0.0,40.0,United-States
28955,31.0,,242984.0,Some-college,10.0,Separated,Handlers-cleaners,,White,Male,0.0,0.0,40.0,United-States
9257,19.0,Without-pay,344858.0,,9.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,20.0,United-States
17282,21.0,Private,45607.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,,0.0,40.0,United-States
27000,35.0,Private,233786.0,11th,,Separated,Other-service,Unmarried,White,Male,0.0,0.0,20.0,United-States
5204,30.0,Self-emp-not-inc,33308.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States
27868,29.0,,133420.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,5013.0,0.0,40.0,United-States
5556,19.0,,57206.0,HS-grad,9.0,Never-married,,Own-child,White,Female,0.0,0.0,20.0,United-States
5809,39.0,Private,52645.0,Some-college,10.0,Divorced,Sales,Unmarried,White,Female,,0.0,40.0,United-States
23895,28.0,Private,132191.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States
10181,43.0,Private,108945.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States
4439,24.0,Private,124971.0,HS-grad,9.0,,Sales,Not-in-family,White,Male,0.0,0.0,38.0,United-States
22527,37.0,Private,82576.0,Prof-school,15.0,Divorced,,Not-in-family,White,Male,14084.0,0.0,36.0,United-States
14269,34.0,Self-emp-not-inc,28568.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,,Male,0.0,0.0,60.0,United-States
1872,31.0,Private,157887.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65.0,United-States
18908,55.0,Private,284095.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,37.0,United-States
2166,47.0,Private,298130.0,,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States
23187,25.0,Private,111058.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,1980.0,40.0,United-States
5877,37.0,Private,323155.0,1st-4th,2.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,85.0,Mexico
11024,45.0,Private,264526.0,Assoc-acdm,12.0,Divorced,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States
30016,31.0,State-gov,440129.0,Some-college,10.0,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States
32546,37.0,Private,198216.0,Assoc-acdm,12.0,Divorced,Tech-support,Not-in-family,,Female,0.0,0.0,40.0,United-States
26531,34.0,Private,189809.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,52.0,Jamaica
1692,19.0,Private,375077.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,,0.0,50.0,United-States
27325,33.0,Private,169973.0,Assoc-voc,11.0,Separated,Protective-serv,Not-in-family,White,Female,0.0,0.0,40.0,United-States
13264,38.0,Private,149347.0,Some-college,10.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,60.0,United-States
24669,50.0,Private,279461.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States
10501,21.0,Private,306850.0,HS-grad,,Never-married,,Own-child,White,Male,0.0,0.0,40.0,United-States
420,20.0,Private,61777.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,30.0,United-States
14141,52.0,Private,193116.0,10th,6.0,Married-civ-spouse,Transport-moving,,White,Male,0.0,0.0,45.0,United-States
5859,20.0,Private,206215.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States
14186,25.0,Private,257562.0,7th-8th,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Mexico
32096,25.0,Private,391192.0,,11.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States
809,20.0,Private,138768.0,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,30.0,United-States
15154,32.0,Private,515629.0,HS-grad,9.0,Separated,,Not-in-family,,Female,0.0,0.0,40.0,United-States
8680,,Private,177499.0,Bachelors,13.0,Never-married,,Own-child,,Male,0.0,1590.0,35.0,United-States
7290,39.0,State-gov,,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,55.0,United-States
14464,41.0,Local-gov,47858.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
17261,28.0,,44767.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,,0.0,50.0,United-States
26626,25.0,Private,234665.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States
6970,40.0,Local-gov,96554.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,,40.0,United-States
8202,36.0,Private,105021.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States
793,23.0,Private,211046.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,2463.0,0.0,40.0,United-States
11494,50.0,Federal-gov,307555.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60.0,United-States
25259,52.0,Self-emp-inc,,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,15024.0,0.0,40.0,United-States
30664,54.0,,77336.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States
24961,55.0,Private,125000.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,,0.0,0.0,40.0,United-States
28634,41.0,Private,176452.0,HS-grad,,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,Peru
2370,36.0,State-gov,166606.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
30267,19.0,Private,229431.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,11.0,United-States
29859,52.0,Local-gov,298035.0,,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
12263,34.0,Private,849857.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Nicaragua
24907,28.0,Private,130067.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States
27816,33.0,Self-emp-not-inc,108438.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
27842,24.0,Private,227594.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States
13733,,Local-gov,493862.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7298.0,0.0,38.0,United-States
12473,25.0,Private,138765.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States
1568,43.0,Local-gov,160574.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
17100,40.0,Private,254167.0,10th,6.0,Separated,Transport-moving,,White,Male,0.0,0.0,35.0,United-States
17551,39.0,,154641.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,0.0,45.0,United-States
21992,59.0,Self-emp-not-inc,165315.0,Bachelors,,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,43.0,United-States
12070,49.0,Private,91251.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,China
12993,28.0,Private,66777.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Other-relative,White,Female,3137.0,0.0,40.0,United-States
9754,44.0,Self-emp-not-inc,567788.0,5th-6th,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,Mexico
8293,73.0,Private,29675.0,HS-grad,9.0,Widowed,Other-service,Other-relative,White,Female,0.0,0.0,12.0,United-States
17311,18.0,Private,114008.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,35.0,United-States
26987,37.0,State-gov,29145.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States
28886,38.0,State-gov,34364.0,Masters,14.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
15234,23.0,Private,120773.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,,0.0,0.0,40.0,United-States
21011,21.0,Private,221955.0,9th,5.0,Never-married,Handlers-cleaners,Other-relative,White,Male,0.0,0.0,40.0,Mexico
1952,30.0,Private,226013.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,40.0,United-States
17370,42.0,,267252.0,Masters,14.0,Separated,Exec-managerial,Unmarried,,Male,0.0,0.0,,United-States
918,81.0,Self-emp-not-inc,136063.0,HS-grad,,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,30.0,United-States
1190,51.0,Private,239155.0,Assoc-voc,,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States
21628,35.0,Private,108946.0,HS-grad,9.0,,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States
14019,45.0,Private,174426.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
25559,33.0,Private,129529.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States
27024,61.0,Private,280088.0,7th-8th,4.0,Divorced,Machine-op-inspct,Unmarried,White,,0.0,0.0,40.0,United-States
19691,,State-gov,142757.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,,40.0,United-States
21077,41.0,Private,163287.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,43.0,United-States
18420,46.0,Private,99385.0,Bachelors,13.0,Separated,Exec-managerial,Unmarried,White,Female,0.0,0.0,,United-States
5698,,Private,240988.0,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines
29890,32.0,Private,329993.0,Some-college,10.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,50.0,United-States
15877,37.0,Private,79586.0,,13.0,Married-civ-spouse,Exec-managerial,,Asian-Pac-Islander,Male,0.0,0.0,40.0,Iran
1462,30.0,Private,177675.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States
14225,,Private,115085.0,HS-grad,9.0,,Adm-clerical,Husband,White,Male,0.0,0.0,50.0,United-States
20787,31.0,Private,241885.0,HS-grad,9.0,Never-married,Farming-fishing,,White,Male,0.0,0.0,45.0,United-States
15204,28.0,Private,606111.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,60.0,Germany
1338,71.0,Private,269708.0,Bachelors,13.0,Divorced,Tech-support,Own-child,White,Female,2329.0,0.0,16.0,United-States
25248,45.0,Private,75673.0,Assoc-voc,11.0,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States
13823,30.0,Private,101859.0,7th-8th,4.0,,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States
1272,28.0,,150296.0,Assoc-acdm,12.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,80.0,United-States
4573,21.0,Private,688355.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States
14371,49.0,Self-emp-inc,330874.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,,Male,0.0,0.0,70.0,United-States
31083,52.0,Private,202115.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,,25.0,United-States
18896,48.0,Private,105138.0,HS-grad,9.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States
3219,59.0,Private,283005.0,11th,7.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States
7380,36.0,Local-gov,191161.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,57.0,United-States
5027,,Federal-gov,348491.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0.0,0.0,40.0,United-States
31202,27.0,Private,123302.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,,Male,0.0,0.0,40.0,Poland
8864,33.0,,202729.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
19938,30.0,Private,226443.0,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,50.0,United-States
3623,31.0,Private,247328.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,,0.0,40.0,Mexico
8184,59.0,Private,197148.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,24.0,United-States
25601,40.0,Local-gov,147372.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,2444.0,40.0,United-States
4329,63.0,Private,149756.0,Assoc-acdm,12.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States
6185,33.0,Private,176711.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,,United-States
17964,18.0,Private,27920.0,11th,7.0,Never-married,Exec-managerial,Own-child,White,,0.0,0.0,25.0,United-States
2707,52.0,Self-emp-not-inc,64045.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0.0,45.0,United-States
5058,44.0,Private,313022.0,,11.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,40.0,United-States
10552,,Private,283613.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
24314,65.0,Private,398001.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-States
25973,51.0,Local-gov,166461.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,40.0,United-States
21734,49.0,State-gov,247378.0,Some-college,10.0,Divorced,Prof-specialty,Not-in-family,White,,0.0,0.0,20.0,United-States
10033,28.0,Private,34335.0,HS-grad,9.0,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,14084.0,0.0,40.0,United-States
31519,29.0,Private,273051.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,52.0,Yugoslavia
7232,41.0,Private,444743.0,HS-grad,9.0,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States
17850,39.0,Private,150125.0,Assoc-acdm,12.0,Divorced,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States
4042,39.0,Private,99065.0,Bachelors,13.0,,Handlers-cleaners,Wife,White,Female,0.0,0.0,40.0,Poland
27680,38.0,Private,105150.0,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,45.0,United-States
11281,18.0,Private,329054.0,11th,7.0,,Adm-clerical,Own-child,White,Female,0.0,0.0,15.0,United-States
27111,30.0,Private,145714.0,Assoc-voc,11.0,Never-married,,Not-in-family,White,Male,,0.0,40.0,United-States
14808,48.0,Private,345006.0,Bachelors,13.0,Never-married,,Not-in-family,White,,0.0,0.0,45.0,Mexico
12854,49.0,Private,177211.0,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States
17628,52.0,Private,137658.0,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0.0,0.0,40.0,Dominican-Republic
18149,36.0,Private,180667.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1887.0,60.0,United-States
31980,19.0,Private,28790.0,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,,40.0,United-States
21010,38.0,Self-emp-not-inc,255503.0,11th,7.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States
4520,35.0,,301614.0,HS-grad,9.0,Married-civ-spouse,Other-service,,White,Male,0.0,0.0,60.0,United-States
16016,32.0,Private,164507.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,Columbia
1113,69.0,Private,168139.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States
19999,30.0,Private,460408.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
15329,18.0,Private,133055.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,United-States
22085,44.0,Private,33521.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States
27505,26.0,Private,61603.0,5th-6th,3.0,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0.0,0.0,40.0,Mexico
21543,52.0,Local-gov,124793.0,12th,8.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
22155,,Private,264166.0,Assoc-voc,11.0,Divorced,Other-service,Unmarried,White,Female,,0.0,45.0,Columbia
2113,57.0,Private,103809.0,HS-grad,9.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States
13650,45.0,Private,240554.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,,Male,0.0,0.0,40.0,United-States
1524,26.0,Local-gov,166295.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,,Male,0.0,2339.0,55.0,United-States
18832,90.0,Private,115306.0,Masters,14.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States
23072,35.0,Private,413648.0,,3.0,Never-married,Farming-fishing,Unmarried,White,Male,0.0,,36.0,United-States
1670,44.0,Private,43711.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,7688.0,0.0,40.0,United-States
27417,60.0,Federal-gov,27466.0,Some-college,10.0,Widowed,,Not-in-family,White,Female,0.0,0.0,40.0,England
